Constituency no.,Constituency ,Party (2013)
1,Nippani,BJP
2,Chikkodi-Sadalga,INC
3,Athani,BJP
4,Kagwad,BJP
5,Kudachi,Others
6,Raybag,BJP
7,Hukkeri,BJP
8,Arabhavi,BJP
9,Gokak,INC
10,Yemkanmardi,INC
11,Belgaum Uttar,INC
12,Belgaum Dakshin,Others
13,Belgaum Rural,BJP
14,Khanapur,Others
15,Kittur,INC
16,Bailhongal,Others
17,Saundatti Yellamma,BJP
18,Ramdurg,INC
19,Mudhol,BJP
20,Terdal,INC
21,Jamkhandi,INC
22,Bilgi,INC
23,Badami,INC
24,Bagalkot,INC
25,Hungund,INC
26,Muddebihal,INC
27,Devar Hippargi,INC
28,Basavana Bagevadi,INC
29,Babaleshwar,INC
30,Bijapur City,INC
31,Nagthan,INC
32,Indi,INC
33,Sindgi,BJP
34,Afzalpur,INC
35,Jevargi,INC
36,Shorapur,INC
37,Shahapur,Others
38,Yadgir,INC
39,Gurmitkal,INC
40,Chittapur,INC
41,Sedam,INC
42,Chincholi,INC
43,Gulbarga Rural,INC
44,Gulbarga Dakshin,BJP
45,Gulbarga Uttar,INC
46,Aland,Others
47,Basavakalyan,Others
48,Homnabad,INC
49,Bidar South,Others
50,Bidar,Others
51,Bhalki,INC
52,Aurad,BJP
53,Raichur Rural,BJP
54,Raichur,Others
55,Manvi,INC
56,Devadurga,INC
57,Lingsugur,Others
58,Sindhanur,INC
59,Maski,INC
60,Kushtagi,BJP
61,Kanakagiri,INC
62,Gangawati,Others
63,Yelburga,INC
64,Koppal,INC
65,Shirahatti,INC
66,Gadag,INC
67,Ron,INC
68,Nargund,INC
69,Navalgund,Others
70,Kundgol,INC
71,Dharwad,INC
72,Hubli-Dharwad-East,INC
73,Hubli-Dharwad-Central,BJP
74,Hubli-Dharwad- West,BJP
75,Kalghatgi,INC
76,Haliyal,INC
77,Karwar,Others
78,Kumta,INC
79,Bhatkal,Others
80,Sirsi,BJP
81,Yellapur,INC
82,Hangal,INC
83,Shiggaon,BJP
84,Haveri,INC
85,Byadgi,INC
86,Hirekerur,Others
87,Ranibennur,INC
88,Hadagalli,INC
89,Hagaribommanahalli,Others
90,Vijayanagara,BJP
91,Kampli,Others
92,Siruguppa,INC
93,Bellary,Others
94,Bellary City,INC
95,Sandur,INC
96,Kudligi,Others
97,Molakalmuru,Others
98,Challakere,INC
99,Chitradurga,BJP
100,Hiriyur,INC
101,Hosadurga,INC
102,Holalkere,INC
103,Jagalur,INC
104,Harapanahalli,INC
105,Harihar,Others
106,Davanagere North,INC
107,Davanagere South,INC
108,Mayakonda,INC
109,Channagiri,INC
110,Honnali,INC
111,Shimoga Rural,Others
112,Bhadravati,Others
113,Shimoga,INC
114,Tirthahalli,INC
115,Shikaripura,Others
116,Sorab,Others
117,Sagar,INC
118,Byndoor,INC
119,Kundapura,Others
120,Udupi,INC
121,Kapu,INC
122,Karkal,BJP
123,Sringeri,BJP
124,Mudigere,Others
125,Chikmagalur,BJP
126,Tarikere,INC
127,Kadur,Others
128,Chiknayakanhalli,Others
129,Tiptur,INC
130,Turuvekere,Others
131,Kunigal,Others
132,Tumkur City,INC
133,Tumkur Rural,BJP
134,Koratagere,Others
135,Gubbi,Others
136,Sira,INC
137,Pavagada,Others
138,Madhugiri,INC
139,Gauribidanur,INC
140,Bagepalli,Others
141,Chikkaballapur,INC
142,Sidlaghatta,Others
143,Chintamani,Others
144,Srinivaspur,INC
145,Mulbagal,Others
146,Kolar Gold Field,BJP
147,Bangarapet,INC
148,Kolar,Others
149,Malur,Others
150,Yelahanka,BJP
151,K.R.Pura,INC
152,Byatarayanapura,INC
153,Yeshvanthapura,INC
154,Rajarajeshwarinagar,INC
155,Dasarahalli,BJP
156,Mahalakshmi Layout,Others
157,Malleshwaram,BJP
158,Hebbal,BJP
159,Pulakeshinagar,Others
160,Sarvagnanagar,INC
161,C.V. Raman Nagar,BJP
162,Shivajinagar,INC
163,Shanti Nagar,INC
164,Gandhi Nagar,INC
165,Rajaji Nagar,BJP
166,Govindraj Nagar,INC
167,Vijay Nagar,INC
168,Chamrajpet,Others
169,Chickpet,INC
170,Basavanagudi,BJP
171,Padmanaba Nagar,BJP
172,B.T.M Layout,INC
173,Jayanagar,BJP
174,Mahadevapura,BJP
175,Bommanahalli,BJP
176,Bangalore South,BJP
177,Anekal,INC
178,Hosakote,INC
179,Devanahalli,Others
180,Doddaballapur,INC
181,Nelamangala,Others
182,Magadi,Others
183,Ramanagaram,Others
184,Kanakapura,INC
185,Channapatna,Others
186,Malavalli,INC
187,Maddur,Others
188,Melukote,Others
189,Mandya,INC
190,Shrirangapattana,Others
191,Nagamangala,Others
192,Krishnarajpet,Others
193,Shravanabelagola,Others
194,Arsikere,Others
195,Belur,INC
196,Hassan,Others
197,Holenarasipur,Others
198,Arkalgud,INC
199,Sakleshpur,Others
200,Belthangady,INC
201,Moodabidri,INC
202,Mangalore City North,INC
203,Mangalore City South,INC
204,Mangalore,INC
205,Bantval,INC
206,Puttur,INC
207,Sullia,BJP
208,Madikeri,BJP
209,Virajpet,BJP
210,Periyapatna,INC
211,Krishnarajanagara,Others
212,Hunsur,INC
213,Heggadadevankote,Others
214,Nanjangud,INC
215,Chamundeshwari,Others
216,Krishnaraja,INC
217,Chamaraja,INC
218,Narasimharaja,INC
219,Varuna,INC
220,T.Narasipur,INC
221,Hanur,INC
222,Kollegal,INC
223,Chamarajanagar,INC
224,Gundlupet,INC
