Constituency no.,Constituency ,Party 
1,Manjeshwar,MUL
2,Kasaragod,MUL
3,Udma,CPM       
4,Kanhangad,Others
5,Trikaripur,CPM       
6,Payyannur,CPM       
7,Kalliasseri,CPM       
8,Taliparamba,CPM       
9,Irikkur,INC       
10,Azhikode,MUL
11,Kannur,Others
12,Dharmadam,CPM       
13,Thalassery,CPM       
14,Kuthuparamba,CPM       
15,Mattannur,CPM       
16,Peravoor,INC       
17,Mananthavady,CPM       
18,Sulthanbathery,INC       
19,Kalpetta,CPM       
20,Vadakara,Others
21,Kuttiadi,MUL
22,Nadapuram,Others
23,Quilandy,CPM       
24,Perambra,CPM       
25,Balusseri,CPM       
26,Elathur,Others
27,Kozhikode North,CPM       
28,Kozhikode South,MUL
29,Beypore,CPM       
30,Kunnamangalam,Others
31,Koduvally,Others
32,Thiruvambady,CPM       
33,Kondotty,MUL
34,Eranad,MUL
35,Nilambur,Others
36,Wandoor,INC       
37,Manjeri,MUL
38,Perinthalmanna,MUL
39,Mankada,MUL
40,Malappuram,MUL
41,Vengara,MUL
42,Vallikkunnu,MUL
43,Tirurangadi,MUL
44,Tanur,Others
45,Tirur,MUL
46,Kottakkal,MUL
47,Thavanur,Others
48,Ponnani,CPM       
49,Thrithala,INC       
50,Pattambi,Others
51,Shornur,CPM       
52,Ottapalam,CPM       
53,Kongad,CPM       
54,Mannarkad,MUL
55,Malampuzha,CPM       
56,Palakkad,INC       
57,Tarur,CPM       
58,Chittur,Others
59,Nenmara,CPM       
60,Alathur,CPM       
61,Chelakkara,CPM       
62,Kunnamkulam,CPM       
63,Guruvayoor,CPM       
64,Manalur,CPM       
65,Wadakkanchery,INC       
66,Ollur,Others
67,Thrissur,Others
68,Nattika,Others
69,Kaipamangalam,Others
70,Irinjalakkuda,CPM       
71,Puthukkad,CPM       
72,Chalakkudy,CPM       
73,Kodungallur,Others
74,Perumbavoor,INC       
75,Angamaly,INC       
76,Aluva,INC       
77,Kalamassery,MUL
78,Paravur,INC       
79,Vypen,CPM       
80,Kochi,CPM       
81,Thripunithura,CPM       
82,Eranakulam,INC       
83,Thrikkakara,INC       
84,Kunnathunad,INC       
85,Piravom,Others
86,Muvattupuzha,Others
87,Kothamangalam,CPM       
88,Devikulam,CPM       
89,Udumbanchola,CPM       
90,Thodupuzha,Others
91,Idukki,Others
92,Peerumade,Others
93,Pala,Others
94,Kaduthuruthy,Others
95,Vaikom,Others
96,Ettumanoor,CPM       
97,Kottayam,INC       
98,Puthuppally,INC       
99,Changanassery,Others
100,Kanjirappally,Others
101,Poonjar,Others
102,Aroor,CPM       
103,Cherthala,Others
104,Alappuzha,CPM       
105,Ambalapuzha,CPM       
106,Kuttanad,Others
107,Haripad,INC       
108,Kayamkulam,CPM       
109,Mavelikara,CPM       
110,Chengannur,CPM       
111,Thiruvalla,Others
112,Ranni,CPM       
113,Aranmula,CPM       
114,Konni,INC       
115,Adoor,Others
116,Karunagappally,Others
117,Chavara,Others
118,Kunnathur,Others
119,Kottarakkara,CPM       
120,Pathanapuram,Others
121,Punalur,Others
122,Chadayamangalam,Others
123,Kundara,CPM       
124,Kollam,CPM       
125,Eravipuram,CPM       
126,Chathannur,Others
127,Varkala,CPM       
128,Attingal,CPM       
129,Chirayinkeezhu,Others
130,Nedumangad,Others
131,Vamanapuram,CPM       
132,Kazhakkoottam,CPM       
133,Vattiyoorkavu,INC       
134,Thiruvananthapuram,INC       
135,Nemom,Others
136,Aruvikkara,INC       
137,Parassala,CPM       
138,Kattakkada,CPM       
139,Kovalam,INC       
140,Neyyattinkara,CPM       
